id,timestamp,total_vehicles,car,motorcycle,bike,truck,bus,camera_id,name,position,direction,date,time,hour,minute,period
1544,2025-03-26 17:59:48+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:48,17,59,PM
1545,2025-03-26 17:59:48+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:48,17,59,PM
1546,2025-03-26 17:59:48+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:48,17,59,PM
1547,2025-03-26 17:59:48+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:48,17,59,PM
1548,2025-03-26 17:59:48+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:48,17,59,PM
1549,2025-03-26 17:59:49+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:49,17,59,PM
1550,2025-03-26 17:59:49+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:49,17,59,PM
1551,2025-03-26 17:59:49+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:49,17,59,PM
1552,2025-03-26 17:59:49+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:49,17,59,PM
1553,2025-03-26 17:59:49+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:49,17,59,PM
1554,2025-03-26 17:59:49+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:49,17,59,PM
1555,2025-03-26 17:59:49+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:49,17,59,PM
1556,2025-03-26 17:59:49+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:49,17,59,PM
1557,2025-03-26 17:59:49+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:49,17,59,PM
1558,2025-03-26 17:59:49+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:49,17,59,PM
1559,2025-03-26 17:59:50+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:50,17,59,PM
1560,2025-03-26 17:59:50+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:50,17,59,PM
1561,2025-03-26 17:59:50+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:50,17,59,PM
1562,2025-03-26 17:59:50+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:50,17,59,PM
1563,2025-03-26 17:59:50+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:50,17,59,PM
1564,2025-03-26 17:59:50+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:50,17,59,PM
1565,2025-03-26 17:59:50+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:50,17,59,PM
1566,2025-03-26 17:59:50+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:50,17,59,PM
1567,2025-03-26 17:59:50+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:50,17,59,PM
1568,2025-03-26 17:59:51+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:51,17,59,PM
1569,2025-03-26 17:59:51+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:51,17,59,PM
1570,2025-03-26 17:59:51+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:51,17,59,PM
1571,2025-03-26 17:59:51+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:51,17,59,PM
1572,2025-03-26 17:59:51+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:51,17,59,PM
1573,2025-03-26 17:59:51+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:51,17,59,PM
1574,2025-03-26 17:59:51+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:51,17,59,PM
1575,2025-03-26 17:59:51+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:51,17,59,PM
1576,2025-03-26 17:59:51+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:51,17,59,PM
1577,2025-03-26 17:59:51+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:51,17,59,PM
1578,2025-03-26 17:59:52+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:52,17,59,PM
1579,2025-03-26 17:59:52+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:52,17,59,PM
1580,2025-03-26 17:59:52+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:52,17,59,PM
1581,2025-03-26 17:59:52+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:52,17,59,PM
1582,2025-03-26 17:59:52+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:52,17,59,PM
1583,2025-03-26 17:59:52+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:52,17,59,PM
1584,2025-03-26 17:59:52+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:52,17,59,PM
1585,2025-03-26 17:59:52+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:52,17,59,PM
1586,2025-03-26 17:59:52+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:52,17,59,PM
1587,2025-03-26 17:59:53+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:53,17,59,PM
1588,2025-03-26 17:59:53+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:53,17,59,PM
1589,2025-03-26 17:59:53+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:53,17,59,PM
1590,2025-03-26 17:59:53+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:53,17,59,PM
1591,2025-03-26 17:59:53+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:53,17,59,PM
1592,2025-03-26 17:59:53+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:53,17,59,PM
1593,2025-03-26 17:59:53+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:53,17,59,PM
1594,2025-03-26 17:59:53+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:53,17,59,PM
1595,2025-03-26 17:59:53+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:53,17,59,PM
1596,2025-03-26 17:59:53+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:53,17,59,PM
1597,2025-03-26 17:59:54+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:54,17,59,PM
1598,2025-03-26 17:59:54+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:54,17,59,PM
1599,2025-03-26 17:59:54+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:54,17,59,PM
1600,2025-03-26 17:59:54+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:54,17,59,PM
1601,2025-03-26 17:59:54+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:54,17,59,PM
1602,2025-03-26 17:59:54+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:54,17,59,PM
1603,2025-03-26 17:59:54+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:54,17,59,PM
1604,2025-03-26 17:59:54+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:54,17,59,PM
1605,2025-03-26 17:59:54+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:54,17,59,PM
1606,2025-03-26 17:59:55+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:55,17,59,PM
1607,2025-03-26 17:59:55+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:55,17,59,PM
1608,2025-03-26 17:59:55+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:55,17,59,PM
1609,2025-03-26 17:59:55+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:55,17,59,PM
1610,2025-03-26 17:59:55+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:55,17,59,PM
1611,2025-03-26 17:59:55+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:55,17,59,PM
1612,2025-03-26 17:59:55+00:00,13,10,0,0,0,3,1,cam1,rua abc,N,2025-03-26,17:59:55,17,59,PM
